thithake	ठिठके
hafizuddin	हफीजउद्दीन
sauphrayar	सौफ्रायर
genzel	गेंजेल
brooking	ब्रुकिंग
silzing	सिलजिंग
prabhateelal	प्रभातीलाल
athyaadhik	अत्याधिक
munkiron	मुन्किरों
peresic	पेरेसिक
bharask	भरस्क
kudag	कुदाग
adsali	अडसाली
sweakens	स्वीकेंस
dhaleta	ढलेटा
afrs	एएफआरएस
metastaticise	मेटास्टेटिसाइज़
jhopanyaachi	झोपण्याची
phoneh	फोनः
vaktav	वक्तव
chammachake	चम्मचके
sikhistan	सिखिस्तान
samstat	समस्तत
nfdm	एनएफडीएम
dryback	ड्रायबैक
anurudva	अनुरूद्व
kusalia	कुसालिया
uddhoshanaaen	उद्धोषणाएं
khijalaahat	खिजलाहट
chahyo	चह्यो
kamrog	कामरोग
tikehau	टिकेहाउ
visfatakon	विस्फटकों
neerdayshon	निर्देशों
supteshu	सुप्तेषु
klasmadhil	क्लासमधील
govirkar	गोविरकर
yio	यि
sillibum	सिलीबम
sansargik	संसर्गिक
shastravettaon	शास्त्रवेत्ताओं
bajaransathi	बाजारांसाठी
heeralal	हीरालाल
jhoraava	झोरावा
gangaabhakti	गंगाभक्ति
apanjiyat	अपंजीयत
chaunaliya	चौनलिया
igla	इगला
aghaadi	अघाड़ी
aprdrp	एपीआरडीआरपी
samraniya	समरानियां
neemse	नीमसे
rashtravadisobatach	राष्ट्रवादीसोबतच
khutpadar	खुटपदर
osama	ओसामा
gyaaro	ग्यारो
kapadchhaan	कपड़छान
nebenzya	नेबेंज़्या
karpa	कर्पा
jankovayak	जानकोवायक
nasovak	नासोवाक
bintang	बिनटेंग
tulips	ट्यूलिप
bataiya	बतैया
cooperatives	कोआप्रेटिवज़
barbuck	बारबक
abedzadeh	आबेदजादेह
sakaldev	सकलदेव
kunaram	कुनाराम
bhayanka	भयंका
extradural	एक्सट्राडयूरल
moonfall	मूनफाल
kerupmenhui	केरूपमेंहुई
sweats	स्वेट्स
khutaila	खुटैला
bittercoin	बिटरकोइन
changedot	चेंजडॉट
lauhara	लौहरा
berks	बर्क्स
stanmalish	स्तनमालिश
sansargase	संसर्गसे
meharabnuma	मेहराबनुमा
skot	स्कोट
byans	ब्यान
chhapanyasathi	छापण्यासाठी
pitikaaen	पिटिकाएँ
mantena	मनतीना
chunaavarat	चुनावरत
kadir	क़ादिर
muhaisa	मुहैसा
nication	निकेशन
vanaron	वानरों
vejalka	वेजलका
najibun	नजीबुन
cambey	कैम्बे
sutaliyon	सुतलियों
ostoporosis	ओस्टोपोरोसिस
dhagaan	धगान
acpo	एसीपीओ
cartoonhindi	कार्टूनहिंदी
gambharir	गंभरीर
amtrak	एमट्रेक
marapi	मरापी
maahilaayen	माहिलायें
sarchip	सरचिप
sanshayvaadiyon	संशयवादियों
bhooriyaan	भूरियां
zikrullah	ज़िकरुल्लाह
faharane	फहराने
jeff	जेफ
monoview	मोनोव्यू
gujarhatti	गुजरहट्टी
